Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
2/4/2015 1:00:00,2/4/2015 2:00:00,2/4/2015 6:00:00,2/4/2015,6,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,292.8116004,,368.62,79.44%,,23.36988896,,,5.94,6.82,1.831496,0.934534
2/4/2015 2:00:00,2/4/2015 3:00:00,2/4/2015 7:00:00,2/4/2015,7,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-24.83,222.0919785,,284.39,78.10%,,18.5386644,,,5.87,4.81,1.73583,0.918765
2/4/2015 3:00:00,2/4/2015 4:00:00,2/4/2015 8:00:00,2/4/2015,8,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,191.3409252,,242.51,78.90%,,20.87827908,,,8.49,1.79,2.030961,0.928244
2/4/2015 4:00:00,2/4/2015 5:00:00,2/4/2015 9:00:00,2/4/2015,9,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-25.33,348.3893078,,435.10,80.07%,,34.35880162,,,8.73,5.33,2.443727,0.94201
2/4/2015 5:00:00,2/4/2015 6:00:00,2/4/2015 10:00:00,2/4/2015,10,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-26.78,333.5738871,,424.42,78.60%,,40.55581011,,,12.2,3.49,2.584819,0.924649
2/4/2015 6:00:00,2/4/2015 7:00:00,2/4/2015 11:00:00,2/4/2015,11,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,508.739316,,626.42,81.21%,,72.60743685,,,28.27,1.24,2.460435,0.955458
2/4/2015 7:00:00,2/4/2015 8:00:00,2/4/2015 12:00:00,2/4/2015,12,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-38.47,1499.381037,,"2,082.13",72.01%,,271.27813288,,,100.62,1.31,2.661416,0.847199
2/4/2015 8:00:00,2/4/2015 9:00:00,2/4/2015 13:00:00,2/4/2015,13,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,280.0684007,,452.22,61.93%,,37.55048177,,,19.86,1.57,1.752239,0.72861
2/4/2015 9:00:00,2/4/2015 10:00:00,2/4/2015 14:00:00,2/4/2015,14,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-56.44,453.2875392,,562.07,80.65%,,44.35813875,,,14.68,6.37,2.107275,0.948783
2/4/2015 10:00:00,2/4/2015 11:00:00,2/4/2015 15:00:00,2/4/2015,15,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,362.0334481,,442.61,81.80%,,38.56245133,,,10.61,4.52,2.548741,0.962304
2/4/2015 11:00:00,2/4/2015 12:00:00,2/4/2015 16:00:00,2/4/2015,16,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,1382.421782,,"1,687.92",81.90%,,168.87038316,,,72.7,5.41,2.161956,0.963538
2/4/2015 12:00:00,2/4/2015 13:00:00,2/4/2015 17:00:00,2/4/2015,17,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-2.0000,-54,903.5296163,,"1,136.53",79.50%,,148.5497394,,,44.6,4,3.056579,0.935285
2/4/2015 13:00:00,2/4/2015 14:00:00,2/4/2015 18:00:00,2/4/2015,18,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-24,460.552127,,565.42,81.45%,,56.02614288,,,16.59,4.37,2.673003,0.958271
2/4/2015 14:00:00,2/4/2015 15:00:00,2/4/2015 19:00:00,2/4/2015,19,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,474.3159059,,574.60,82.55%,,42.21482796,,,14.62,7.34,1.922351,0.971141
2/4/2015 15:00:00,2/4/2015 16:00:00,2/4/2015 20:00:00,2/4/2015,20,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-23.43,509.1895727,,618.17,82.37%,,45.60816507,,,9.77,8.44,2.504567,0.969063
2/4/2015 16:00:00,2/4/2015 17:00:00,2/4/2015 21:00:00,2/4/2015,21,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-25.26,470.9276436,,584.85,80.52%,,56.09293032,,,15.56,5.02,2.725604,0.947306
2/4/2015 17:00:00,2/4/2015 18:00:00,2/4/2015 22:00:00,2/4/2015,22,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,-1.0000,-28.88,680.6908754,,965.80,70.48%,,106.80037968,,,33.97,5.26,2.722416,0.829172
2/4/2015 18:00:00,2/4/2015 19:00:00,2/4/2015 23:00:00,2/4/2015,23,TAITsched:16000,16,16,4,,,,,,M05E10-INV1 & 2 ; M02E20 INV 1 & 2,16,0.0000,0,440.0529809,,544.36,80.84%,,42.12273954,,,15.48,5.98,1.962849,0.951048
