Datetime EST HB,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,Mango Readable,Mango Readable,Mango Readable,Mango Readable,"MW
Online",Bid Amount,"Laurel Mountain
MW Out Unplanned","Laurel Mountain
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
3/1/2015 15:00:00,3/1/2015 16:00:00,3/1/2015 20:00:00,3/1/2015,20,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,3239.062061,,"3,410.67",94.97%,,205.37319482,,,84.98,9.99,2.162506,0.949685
3/1/2015 16:00:00,3/1/2015 17:00:00,3/1/2015 21:00:00,3/1/2015,21,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-170,10407.53836,,"11,015.04",94.48%,,786.61713784,,,324.02,8.54,2.365339,0.944848
3/1/2015 17:00:00,3/1/2015 18:00:00,3/1/2015 22:00:00,3/1/2015,22,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-347.28,3066.726144,,"3,222.94",95.15%,,532.9552853,,,87.94,2.16,5.915153,0.951532
3/1/2015 18:00:00,3/1/2015 19:00:00,3/1/2015 23:00:00,3/1/2015,23,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,2622.600137,,"2,763.10",94.92%,,186.20699692,,,83.76,1.18,2.192218,0.949152
3/1/2015 19:00:00,3/1/2015 20:00:00,3/2/2015 0:00:00,3/2/2015,0,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-3,-323.19,2032.428016,,"2,133.44",95.27%,,131.7285861,,,66.67,0,1.97583,0.952653
3/1/2015 20:00:00,3/1/2015 21:00:00,3/2/2015 1:00:00,3/2/2015,1,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-97.18,843.3205183,,956.81,88.14%,,68.81846355,,,28.26,0.69,2.377149,0.88139
3/1/2015 21:00:00,3/1/2015 22:00:00,3/2/2015 2:00:00,3/2/2015,2,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,1831.258459,,"2,001.06",91.51%,,132.29833104,,,38.53,8.54,2.810672,0.915144
3/1/2015 22:00:00,3/1/2015 23:00:00,3/2/2015 3:00:00,3/2/2015,3,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-35.39,1974.642869,,"2,050.13",96.32%,,156.55416792,,,39.63,7.33,3.333777,0.963179
3/1/2015 23:00:00,3/2/2015 0:00:00,3/2/2015 4:00:00,3/2/2015,4,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-53.7,894.6925413,,973.39,91.92%,,69.0027885,,,17.76,3.99,3.172542,0.919151
3/2/2015 0:00:00,3/2/2015 1:00:00,3/2/2015 5:00:00,3/2/2015,5,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,547.9468021,,585.40,93.60%,,23.71786856,,,13.39,3.49,1.405087,0.936021
3/2/2015 1:00:00,3/2/2015 2:00:00,3/2/2015 6:00:00,3/2/2015,6,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-1,-25.92,433.4541654,,454.12,95.45%,,19.71419352,,,10.55,2.39,1.523508,0.954497
3/2/2015 2:00:00,3/2/2015 3:00:00,3/2/2015 7:00:00,3/2/2015,7,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-54.04,435.5390045,,452.82,96.18%,,19.1297643,,,11.91,1.58,1.41807,0.961842
3/2/2015 3:00:00,3/2/2015 4:00:00,3/2/2015 8:00:00,3/2/2015,8,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,481.3823846,,500.45,96.19%,,19.74659396,,,10.95,3.41,1.375111,0.961895
3/2/2015 4:00:00,3/2/2015 5:00:00,3/2/2015 9:00:00,3/2/2015,9,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,806.6862412,,894.52,90.18%,,37.46517968,,,24.41,2.55,1.389658,0.901813
3/2/2015 5:00:00,3/2/2015 6:00:00,3/2/2015 10:00:00,3/2/2015,10,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-55.44,811.423341,,864.10,93.90%,,41.55940224,,,10.36,6.92,2.405058,0.939043
3/2/2015 6:00:00,3/2/2015 7:00:00,3/2/2015 11:00:00,3/2/2015,11,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,-2,-146.72,2749.151964,,"2,879.70",95.47%,,201.19528269,,,72.33,6.96,2.537461,0.954665
3/2/2015 7:00:00,3/2/2015 8:00:00,3/2/2015 12:00:00,3/2/2015,12,LMsched:32000,LMbid:32000,LMUnscheduled:0,LMPlanned:0,LMSettled:32000,32,32,,,,32,0,0,583.558405,,619.79,94.15%,,63.16300914,,,16.05,0.89,3.728631,0.94154
