,Datetime EST HE,Datetime GMT HB,Date GMT,HB GMT,Mango Readable,20,"Bid Amount
","TAIT
MW Out Unplanned",Mango Readable,Mango Readable,Mango Readable,Mango Readable,"TAIT
MW Out Planned",Comments,"PJM Accepted Availability
mwh_available","energy_losses
(MWh)","energy_cost
$","gross_revenue
[RMCP Revenue]
$","other_charge
$",potential_revenue,revenue_capture,Latest Update,"
hrly_dam_reg_mcp
[(RMCCP+RMPCP) x BF]
$","
Injections
MWh","Reprocess
Data From",RMCCP,RMPCP,Benefits Factor,Hrly Perf Score
4/4/2014 9:00:00,4/4/2014 10:00:00,4/4/2014 14:00:00,4/4/2014,14,TAITsched:18000,18,18,0,TAITbid:18000,TAITUnscheduled:0,TAITPlanned:2000,TAITSettled:18000,2,Maintenance,18,0.0000,0,295.4146648,,1459.033689,0.202472819529255,,147.36746064,,,15.31,1.35,2.060507,0.907153
4/4/2014 10:00:00,4/4/2014 11:00:00,4/4/2014 15:00:00,4/4/2014,15,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-2.0000,-81.3,516.9855197,,486.077683,1.06358620809176,,42.17373146,,,20.66,4.15,2.167201,0.968555
4/4/2014 11:00:00,4/4/2014 12:00:00,4/4/2014 16:00:00,4/4/2014,16,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,0.0000,0,708.5517181,,467.4195256,1.51587958844995,,46.1286274,,,34.26,1.29,2.101532,0.958254
4/4/2014 12:00:00,4/4/2014 13:00:00,4/4/2014 17:00:00,4/4/2014,17,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-41.27,887.3431029,,742.805225,1.19458381960089,,81.82246159,,,42.41,1.25,2.304209,0.979618
4/4/2014 13:00:00,4/4/2014 14:00:00,4/4/2014 18:00:00,4/4/2014,18,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-54.94,1314.600593,,1030.854004,1.27525390394662,,107.18784336,,,57.77,3.95,2.312076,0.982472
4/4/2014 14:00:00,4/4/2014 15:00:00,4/4/2014 19:00:00,4/4/2014,19,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-53.28,1221.571127,,1230.6021064,0.992661332730512,,204.89092415,,,59.05,1.08,3.481579,0.972432
4/4/2014 15:00:00,4/4/2014 16:00:00,4/4/2014 20:00:00,4/4/2014,20,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-37.42,759.8971586,,1376.4377392,0.552075213399525,,178.98887376,,,29.04,3.41,2.865656,0.978949
4/4/2014 16:00:00,4/4/2014 17:00:00,4/4/2014 21:00:00,4/4/2014,21,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-35.54,639.9871459,,791.4996168,0.808575433665327,,86.63842452,,,22.46,4.02,2.620642,0.969825
4/4/2014 17:00:00,4/4/2014 18:00:00,4/4/2014 22:00:00,4/4/2014,22,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,-1.0000,-35.28,771.1753677,,961.205921,0.802299851521618,,97.02671211,,,14.54,8.05,3.180161,0.9606
4/4/2014 18:00:00,4/4/2014 19:00:00,4/4/2014 23:00:00,4/4/2014,23,TAITsched:20000,20,20,0,TAITbid:20000,TAITUnscheduled:0,TAITPlanned:0,TAITSettled:20000,0,,20,0.0000,0,902.7845105,,863.7067904,1.04524419691305,,83.23291968,,,17.68,7.63,3.754304,0.974396
